yvals,period,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101,x102,x103,x104,x105,x106,x107,x108,x109,x110,x111,x112,x113,x114,x115,x116,x117,x118,x119,x120,x121,x122,x123,x124,x125,x126,x127,x128,x129,x130,x131,x132,x133,x134,x135,x136,x137,x138,x139,x140,x141,x142,x143,x144,x145,x146,x147,x148,x149,x150,x151,x152
All,quarter,-0.04,-0.05,-0.04,-0.04,-0.02,-0.07,-0.02,0.01,0.01,0.04,0.01,0,0.02,0,0.03,-0.01,-0.05,-0.02,-0.03,0.01,0,0.04,0.01,0.02,0.03,0,0,0,0.01,-0.02,0.01,-0.02,-0.06,-0.01,-0.02,0,0.01,-0.01,0,0,0,0.01,0.04,-0.02,-0.01,0.03,-0.02,-0.02,-0.08,-0.38,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Agri,quarter,0.06,-0.05,0,-0.01,0.02,-0.05,-0.04,0,0.01,0.04,0.03,0.03,0.03,0.04,0.03,0,-0.02,-0.03,-0.04,0.01,0,0.03,0.03,0.03,0.02,0.01,-0.03,-0.05,-0.02,-0.06,-0.01,-0.01,-0.02,-0.02,-0.05,0.03,0.05,0.03,0.05,0.01,0.01,0.01,0.02,0.01,-0.01,0,-0.04,-0.04,-0.04,-0.06,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Production,quarter,0.01,-0.02,-0.03,-0.08,-0.09,-0.09,0,0.02,0,0.1,0.03,0.01,0.01,0.04,0.05,0,0.03,0.02,-0.08,0.02,-0.02,0.07,0.02,0.02,0.03,0.02,0.01,0.02,0.01,-0.02,0,-0.04,0.01,0.02,-0.02,0.03,0.03,0.05,0.01,0.01,-0.01,0.04,0.04,0,-0.01,0.04,-0.05,-0.02,-0.02,-0.49,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Construction,quarter,-0.08,-0.07,-0.06,-0.07,-0.06,-0.07,-0.01,0,0.01,0.02,0.01,-0.01,0.01,0.02,0.02,0,-0.07,-0.05,-0.04,0.01,0.01,0.03,0.02,0.04,0.04,0.03,0.02,0.02,0.03,0.01,0.02,0,-0.07,0,-0.01,0,0.02,0.03,-0.01,0,0.02,-0.01,0.06,-0.02,-0.04,0.06,-0.02,-0.03,-0.13,-0.48,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Services,quarter,0,-0.06,-0.05,-0.04,-0.03,-0.05,-0.03,0,0.01,0.02,-0.01,-0.01,-0.01,0.01,0.03,0,0,0,-0.03,0.01,0,0.01,0.01,0.01,0,0.01,0,0.01,0.01,-0.02,0,-0.02,0,-0.03,-0.02,0.01,-0.02,-0.01,-0.01,-0.01,0.02,-0.01,0.04,-0.03,-0.03,0.05,-0.03,-0.02,-0.05,-0.37,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
All,quarter,0.06,0.03,0.01,-0.04,-0.12,-0.13,-0.13,-0.1,-0.08,0.01,0.04,0.04,0.04,0.02,0.03,0.04,0.07,0.04,-0.03,0,-0.06,0.01,0.05,0.05,0.09,0.05,0.04,0.04,0.02,-0.01,0,-0.01,0,0.01,-0.01,0.02,0.01,0.02,0.04,0.03,0.01,0.01,0.04,0.04,0.02,0.05,-0.01,-0.01,0.01,-0.31,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Agri,quarter,0.18,0.17,0.25,0.13,0,0,-0.05,-0.04,-0.08,0.02,0.1,0.14,0.14,0.17,0.19,0.18,0.14,0.07,-0.02,0,-0.05,0.02,0.08,0.08,0.11,0.09,0.04,-0.07,-0.09,-0.16,-0.14,-0.1,-0.04,0.01,-0.03,0.03,0.03,0.06,0.16,0.15,0.1,0.08,0.04,0.06,0.02,0.02,-0.05,-0.08,-0.03,-0.09,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Production,quarter,0.11,0.06,0.01,-0.08,-0.2,-0.26,-0.22,-0.15,-0.06,0.09,0.12,0.14,0.14,0.1,0.1,0.09,0.12,0.09,-0.03,0,-0.07,-0.01,0.08,0.08,0.13,0.07,0.06,0.07,0.04,0,0.01,-0.03,-0.02,-0.01,-0.02,0.05,0.06,0.09,0.12,0.12,0.08,0.06,0.07,0.06,0.07,0.08,0.02,-0.02,-0.03,-0.43,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Construction,quarter,0.02,-0.02,-0.05,-0.09,-0.2,-0.23,-0.21,-0.16,-0.1,-0.01,0.01,0.01,0.03,0,-0.02,0,0.03,0,-0.04,-0.03,-0.07,0.02,0.04,0.07,0.12,0.09,0.1,0.09,0.07,0.06,0.05,0.04,0.04,0.05,0.02,0.02,0.03,0.02,0.04,0.03,0.01,0,0.05,0.04,0.02,0.05,-0.01,-0.03,0,-0.42,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Services,quarter,0.02,0,-0.03,-0.05,-0.11,-0.12,-0.12,-0.08,-0.07,0.01,0.02,0.02,0.01,-0.02,0,0.01,0.06,0.03,-0.04,0,-0.06,0,0.04,0.04,0.08,0.04,0.03,0.04,0.03,0.01,0.01,-0.01,0.01,0.01,-0.01,0.01,0,0,0,0,-0.02,-0.01,0.04,0.04,0.01,0.05,-0.01,0,0.03,-0.32,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
All,month,0.08,-0.03,0,0.01,-0.03,0,-0.02,0.01,-0.02,-0.02,-0.03,-0.03,0.01,-0.07,-0.01,0.03,-0.01,0,-0.03,-0.01,0,0.02,0.02,0,-0.01,0.06,-0.01,0,0,0,0.01,0,0.03,0,0.01,-0.05,0.05,0.03,0,0,0.04,0,0.01,-0.01,-0.01,-0.02,0,0.01,-0.02,0,0.01,-0.01,0,-0.11,0.03,0,-0.01,0.01,-0.01,0,-0.01,-0.01,0.13,-0.04,0,-0.01,-0.02,0,0.01,0.02,-0.01,0,-0.01,-0.03,0.03,0.02,-0.01,-0.01,0,0.01,-0.01,-0.03,-0.02,-0.01,-0.03,-0.02,-0.01,0,0,0.01,-0.02,-0.05,0,-0.01,0.01,-0.14,0.17,0.02,-0.06,0,-0.06,0.01,0.01,-0.03,0.01,0.02,0.02,0,0.04,0.01,0,0.02,0,0.01,-0.01,0.03,-0.01,-0.02,0.02,0.02,-0.03,-0.02,0.06,0,-0.01,-0.02,-0.01,0.02,-0.02,0.02,-0.02,-0.02,0,-0.01,0.04,-0.01,-0.03,-0.03,-0.01,-0.04,0.02,-0.02,-0.04,-0.04,0.02,-0.01,-0.08,-0.13,0.02,0.06,0.04,null
Agri,month,0.2,-0.03,-0.03,-0.02,-0.01,-0.01,0,0,-0.02,0,-0.03,-0.04,0.04,-0.04,-0.02,0,-0.02,0.01,-0.04,-0.05,0.02,0.01,0.01,0,-0.02,0.06,0.01,-0.01,0,0.03,0,-0.01,0.02,-0.02,0.01,-0.07,0.05,0.03,-0.02,0.01,0.06,-0.02,0.01,0.03,-0.03,-0.02,0,-0.01,-0.02,0,0,-0.02,-0.04,-0.06,0,-0.01,-0.01,0.02,-0.08,0,-0.02,-0.02,0.06,-0.01,0.02,0.01,0.03,-0.04,0,0.03,-0.02,0.02,-0.05,-0.01,0.02,0.05,-0.04,-0.03,-0.03,0.01,-0.03,-0.06,-0.04,0,-0.05,-0.02,-0.02,-0.03,0.01,0.01,-0.02,-0.08,0.01,-0.03,0.02,-0.29,0.3,-0.02,-0.08,-0.01,-0.05,0,-0.03,-0.01,-0.01,0.01,0.04,-0.05,0.05,0.01,-0.02,0,0.06,-0.01,-0.03,0.03,0,0,-0.01,-0.02,-0.01,-0.03,0,-0.01,-0.02,-0.02,0.02,-0.01,-0.03,0.05,-0.05,-0.01,-0.01,-0.02,0.02,-0.01,-0.04,-0.04,0.01,-0.05,-0.01,-0.03,-0.04,-0.04,0.01,0,-0.01,-0.08,0.05,0.03,-0.02,null
Production,month,-0.03,-0.02,-0.01,0.13,-0.13,0,0,0.01,-0.02,-0.01,-0.08,-0.07,-0.01,-0.05,-0.01,0.09,-0.04,0,0,-0.02,0.01,0.04,0.01,0,0.01,0.14,-0.01,0.01,-0.02,-0.01,0,0,0.06,0.02,0.06,-0.07,0.07,0.08,0,-0.02,0.06,0.04,0.01,0,-0.03,-0.04,0.02,0.06,-0.04,-0.01,0.03,0.01,0.07,-0.23,0.12,0.01,-0.04,0.01,0,0.06,-0.01,-0.03,0.23,-0.05,-0.04,-0.02,0,0.01,0.05,0,-0.02,0.01,0.01,-0.08,0.06,0.05,-0.01,0.01,0,0.02,0.02,0,-0.03,-0.02,0,0.03,0,0.01,0.01,0.04,-0.07,-0.05,0.02,0.01,-0.01,-0.05,0.09,0.07,-0.04,0.01,-0.11,0.03,0.04,0.01,0,0.02,0.07,0.07,0.04,0.04,0.01,0.02,0.02,0.01,0.01,0.07,-0.04,0,0.05,0.03,-0.03,-0.06,0.16,0.01,0.01,-0.05,-0.02,0.05,0,0.03,0.02,-0.01,0,-0.03,0.06,0.02,-0.01,-0.02,0.01,-0.06,0.02,-0.02,-0.1,-0.02,0.02,0,-0.23,-0.22,0.1,0.14,0.13,null
Construction,month,-0.02,-0.06,-0.05,-0.01,-0.12,-0.06,-0.07,-0.04,-0.06,-0.04,-0.04,-0.04,-0.03,-0.1,-0.03,0.07,-0.06,0.01,-0.01,-0.01,0,-0.01,0.02,0.04,-0.14,0.04,-0.04,0,0.02,0,0.01,0.01,0,0,-0.03,-0.03,0,0.02,-0.01,-0.01,0,0,0,-0.03,0,-0.03,0.05,-0.02,-0.04,-0.04,-0.03,-0.02,-0.01,-0.14,0.07,0,-0.02,0.02,-0.01,0,-0.02,-0.03,0.1,-0.01,-0.02,-0.01,-0.02,0,0.02,-0.02,0,-0.01,0.01,-0.05,0.02,0,0,0,0.02,0.01,0,-0.04,0,-0.01,-0.04,0.02,0,0.02,0.01,0,-0.01,-0.01,0.01,0.01,-0.01,-0.01,0.01,0,-0.02,-0.04,-0.03,0,-0.02,-0.01,-0.01,0,0.01,0.01,-0.03,0,-0.01,0.01,0.01,-0.01,0.01,0,-0.01,0.01,0.03,0.02,-0.05,-0.01,0.02,0.01,0,-0.02,-0.02,0,-0.02,0,-0.03,-0.01,0.01,-0.02,0.01,0.02,-0.04,-0.03,-0.01,-0.01,-0.01,-0.04,-0.04,-0.05,0.02,0.01,-0.17,-0.29,0.01,0.14,0.18,null
Services,month,-0.03,-0.04,0.01,0.07,-0.06,0.01,0,0,0.01,-0.02,-0.02,0.06,-0.01,-0.09,0.01,0.03,-0.02,-0.01,-0.03,0.03,0.01,0.03,0.01,0.02,0.01,0.06,-0.01,-0.01,-0.02,0.01,0.02,0,0.01,0.01,0.03,-0.03,0.05,0.02,0,0,0.03,0.03,0.03,-0.02,-0.01,-0.02,0,0.02,-0.02,0,0,-0.01,0.02,-0.14,0.06,-0.01,0,0.02,0,-0.01,-0.01,0.03,0.16,-0.03,0,-0.03,-0.04,0.02,-0.01,0,0,-0.02,0,-0.05,0.03,0,0.02,-0.01,0.03,0.01,0.02,-0.02,-0.02,0.02,-0.04,-0.03,-0.01,0.01,0.01,0.02,-0.03,-0.01,0.01,-0.01,-0.01,-0.02,0.05,0.07,-0.07,0.03,-0.06,0.02,0.05,-0.03,0.01,0.04,0.01,0.03,0.05,0.02,-0.03,0.04,-0.03,0.02,0.01,0.04,-0.02,-0.04,0.05,0.05,-0.04,0,0.08,0,0.02,0,-0.01,0.03,-0.03,0.04,0,-0.03,0,0.01,0.04,0.01,0.02,-0.03,0.01,-0.01,0.03,0.01,-0.03,-0.03,0.01,-0.04,-0.11,-0.12,-0.01,0.05,0.07,null
All,month,0.16,0.09,0.05,0.18,0.1,0.12,0.18,0.07,0.18,0.11,-0.04,0.15,-0.02,-0.08,0.04,-0.05,-0.08,-0.01,-0.05,-0.08,-0.05,-0.08,-0.01,0.05,-0.11,-0.01,0.07,0.04,0.05,0.08,0.07,0.13,0.15,0.09,0.16,0.04,0.15,0.11,0.09,0.06,0.14,0.1,0.08,0.16,0.12,0.09,0.08,0.1,0.07,0.11,0.05,0.05,0.07,-0.06,0,-0.03,-0.12,0.06,-0.02,-0.12,0,-0.07,-0.06,0.05,0.04,0.07,0.11,0.05,0.09,0.05,0.07,0.15,0.11,0.09,0.07,0.08,0.01,0.06,0.04,0.01,0.06,0,-0.08,-0.02,-0.04,-0.04,-0.02,-0.07,-0.11,-0.02,-0.05,-0.11,-0.06,-0.08,-0.01,-0.19,-0.02,0.05,-0.02,0.04,0.01,-0.01,-0.08,0.07,0.02,-0.01,0.09,0.17,0.07,0.02,0.12,-0.01,0.14,0.13,0.11,0.15,0.12,0.14,0.11,0.07,0.11,0.08,0,0.09,0.07,0.02,0.09,0.06,-0.03,0.12,0.05,0.03,0.04,0.04,0.07,0.07,0.04,-0.03,0.06,-0.04,0.05,-0.01,-0.05,0.02,-0.01,-0.01,-0.05,-0.17,-0.19,-0.05,-0.04,null
Agri,month,0.22,0.04,0.13,0.19,0.15,0.2,0.28,0.22,0.25,0.18,0.02,0.2,-0.02,-0.06,0.05,0.01,-0.04,0.01,-0.03,-0.09,-0.06,-0.1,-0.02,0.09,-0.15,-0.04,0,0.01,0.04,0.04,0.05,0.13,0.18,0.13,0.14,0.03,0.17,0.13,0.13,0.12,0.19,0.14,0.12,0.21,0.17,0.15,0.13,0.16,0.12,0.13,0.1,0.09,0.04,-0.02,0.02,-0.03,-0.09,0.06,-0.04,-0.14,-0.01,-0.07,-0.07,0.02,0.05,0.07,0.14,0.05,0.07,0.06,0.1,0.18,0.11,0.11,0.12,0.13,0.05,0.09,0.04,0.04,0.03,-0.05,-0.11,-0.15,-0.09,-0.11,-0.12,-0.18,-0.19,-0.12,-0.12,-0.2,-0.13,-0.13,-0.03,-0.36,0.01,0.02,-0.05,0,-0.02,-0.04,-0.12,0.01,-0.01,-0.04,0.01,0.23,-0.01,0,0.09,0.01,0.15,0.13,0.14,0.18,0.15,0.18,0.11,0.12,0.11,0.08,0.01,0.11,0.05,0,0.1,0.04,-0.04,0.09,0.02,0.02,0.01,0.01,0.07,0.05,0,-0.03,0,-0.08,0,-0.08,-0.09,-0.03,-0.04,-0.03,-0.04,-0.09,-0.05,0.1,0.05,null
Production,month,0.19,0.25,-0.05,0.34,0.12,0.17,0.23,0.01,0.22,0.1,-0.11,0.1,-0.13,-0.17,0.02,-0.19,-0.23,-0.11,-0.15,-0.15,-0.12,-0.14,0.01,0.07,-0.04,0.07,0.23,0.13,0.17,0.19,0.12,0.24,0.21,0.11,0.28,0.11,0.24,0.21,0.16,0.07,0.23,0.21,0.15,0.23,0.17,0.15,0.12,0.13,0.12,0.18,0.02,0.07,0.18,-0.16,0.07,0.01,-0.16,0.13,0.02,-0.1,0.1,-0.04,-0.05,0.16,-0.01,0.12,0.14,0.05,0.19,0.13,0.05,0.17,0.12,0.1,0.08,0.06,-0.02,0.07,0.02,-0.07,0.08,0.04,-0.06,0.1,-0.02,0.01,0.07,0,-0.11,0.08,-0.04,-0.04,-0.02,-0.12,-0.01,-0.07,-0.07,0.03,-0.05,0.04,0.05,-0.02,-0.11,0.21,0.07,0.05,0.26,0.16,0.23,0.1,0.29,0.04,0.29,0.23,0.22,0.23,0.17,0.24,0.23,0.07,0.22,0.12,-0.01,0.18,0.15,0.05,0.12,0.1,0.02,0.17,0.08,0.09,0.12,0.13,0.11,0.09,0.03,-0.05,0.13,-0.03,0.11,0.06,-0.12,0.03,-0.05,-0.05,-0.1,-0.33,-0.41,-0.2,-0.22,null
Construction,month,-0.02,-0.01,-0.11,0,-0.12,-0.11,-0.14,-0.18,-0.14,-0.19,-0.23,-0.16,-0.26,-0.29,-0.18,-0.28,-0.24,-0.15,-0.15,-0.14,-0.07,-0.1,-0.02,0.02,-0.12,-0.02,0.04,0,0.04,0.05,0.01,0.09,0.05,0.03,0.06,-0.03,0.12,0.06,0.04,0.01,0.03,0.01,0.01,0.01,0.02,0,0.05,0.05,0.07,0.03,-0.03,-0.03,0.02,-0.11,-0.03,-0.07,-0.12,-0.01,-0.05,-0.11,-0.08,-0.09,-0.05,0.05,0.02,0.08,0.07,0.05,0.11,0.07,0.06,0.16,0.17,0.15,0.16,0.12,0.09,0.13,0.12,0.13,0.15,0.11,0.06,0.1,0.05,0.09,0.13,0.12,0.05,0.09,0.06,0.04,0.06,0.07,0.11,0.06,0.07,0.09,0.06,0.08,0.07,0.03,-0.02,0.1,0.02,-0.01,0.05,0.04,0.05,0.02,0.08,-0.02,0.09,0.08,0.07,0.03,0.05,0.11,0.07,0.02,0.05,0.05,-0.04,0.06,0.02,0.03,0.06,0.07,-0.01,0.05,0.05,0.04,0.04,0.03,0.08,0.07,0.02,-0.02,0.06,-0.02,0.05,-0.02,-0.03,0.01,-0.01,0,-0.09,-0.38,-0.44,-0.29,-0.18,null
Services,month,0.11,0.17,-0.01,0.18,0.08,0.05,0.12,-0.05,0.14,0.11,-0.05,0.17,0.09,-0.04,0.08,-0.04,-0.05,0.02,-0.03,-0.04,-0.01,-0.04,0,0,-0.07,0.03,0.13,0.08,0.06,0.12,0.11,0.13,0.13,0.05,0.17,0.06,0.1,0.07,0.04,-0.01,0.08,0.06,0.01,0.11,0.06,0.02,0,0.01,0,0.08,0,0,0.1,-0.09,-0.03,-0.04,-0.14,0.06,0.01,-0.11,0.01,-0.07,-0.06,0.06,0.04,0.07,0.08,0.04,0.08,0.02,0.02,0.09,0.11,0.04,-0.04,0,-0.06,-0.01,0.02,-0.04,0.07,0.04,-0.07,0.08,0,0,0.03,0.01,-0.05,0.07,0.02,-0.05,0,-0.03,-0.03,-0.05,-0.07,0.08,0.01,0.08,0.02,0.01,-0.04,0.1,0.06,0.03,0.16,0.12,0.15,0.01,0.12,-0.03,0.11,0.12,0.05,0.13,0.08,0.07,0.1,0.03,0.1,0.08,0,0.06,0.08,0.03,0.07,0.08,-0.03,0.15,0.09,0.02,0.06,0.06,0.05,0.09,0.08,-0.02,0.11,-0.01,0.09,0.06,0.02,0.07,0.05,0.04,-0.03,-0.15,-0.23,-0.1,-0.07,null
New reporters NSA,month,29800,21640,17150,16790,16810,19450,16960,19720,18040,17860,18520,13480,15530,14410,11770,12260,13990,13440,15480,13180,13870,14010,16880,14200,13860,16800,13410,14930,14800,14490,18360,15840,13150,16920,16780,15180,17400,14450,16650,13340,14320,19790,17810,18360,19860,14850,17170,18160,15790,15520,18970,13220,17400,18870,17030,16520,18240,15780,15760,18160,15800,14600,14610,15780,16970,15130,21120,19050,18530,20080,18630,16870,20060,19110,17440,17700,18200,17680,21150,18320,18830,20190,18720,19270,20110,21030,19400,18840,19920,19930,25820,21310,21490,21660,22520,19650,20500,22180,18900,21390,21060,21670,24380,26440,21050,23600,23650,17450,22090,22290,24680,19070,21240,18490,22650,22370,16430,19540,22840,17190,20840,22070,17350,19200,19980,17540,22360,24070,19480,23210,23610,17660,21770,20570,17890,19140,21070,17700,24200,23160,17260,19860,23880,17770,20190,22100,17840,13690,15900,13950,18660,18550
